Experiment: RXFKCH00007  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Group	Status
True	16744448	A1	Sample 1	1	
True	16744448	A2	Sample 2	1	
True	255	A3	Sample 3	2	
True	255	A4	Sample 4	2	
True	16744448	A5	Sample 5	1	
True	16744448	A6	Sample 6	1	
True	16744448	A7	Sample 7	1	
True	16744448	A8	Sample 8	1	
True	16744448	A9	Sample 9	1	
True	16744448	A10	Sample 10	1	
True	255	A11	Sample 11	2	
True	16744448	A12	Sample 12	1	
True	255	A13	Sample 13	2	
True	255	A14	Sample 14	2	
True	16744448	A15	Sample 15	1	
True	255	A16	Sample 16	2	
True	16744448	A17	Sample 17	1	
True	255	A18	Sample 18	2	
True	255	A19	Sample 19	2	
True	16744448	A20	Sample 20	1	
True	1234938	A21	Sample 21	6	
True	16744448	A22	Sample 22	1	
True	16744448	A23	Sample 23	1	
True	255	A24	Sample 24	2	
True	16744448	B1	Sample 25	1	
True	255	B2	Sample 26	2	
True	16744448	B3	Sample 27	1	
True	16744448	B4	Sample 28	1	
True	255	B5	Sample 29	2	
True	255	B6	Sample 30	2	
True	16744448	B7	Sample 31	1	
True	16744448	B8	Sample 32	1	
True	16744448	B9	Sample 33	1	
True	255	B10	Sample 34	2	
True	255	B11	Sample 35	2	
True	255	B12	Sample 36	2	
True	255	B13	Sample 37	2	
True	255	B14	Sample 38	2	
True	16744448	B15	Sample 39	1	
True	255	B16	Sample 40	2	
True	255	B17	Sample 41	2	
True	255	B18	Sample 42	2	
True	16744448	B19	Sample 43	1	
True	16744448	B20	Sample 44	1	
True	255	B21	Sample 45	2	
True	16744448	B22	Sample 46	1	
True	16744448	B23	Sample 47	1	
True	255	B24	Sample 48	2	
True	255	C1	Sample 49	2	
True	16744448	C2	Sample 50	1	
True	16744448	C3	Sample 51	1	
True	16744448	C4	Sample 52	1	
True	16744448	C5	Sample 53	1	
True	255	C6	Sample 54	2	
True	16744448	C7	Sample 55	1	
True	16744448	C8	Sample 56	1	
True	16744448	C9	Sample 57	1	
True	255	C10	Sample 58	2	
True	16744448	C11	Sample 59	1	
True	16744448	C12	Sample 60	1	
True	16744448	C13	Sample 61	1	
True	16744448	C14	Sample 62	1	
True	255	C15	Sample 63	2	
True	16744448	C16	Sample 64	1	
True	16711935	C17	Sample 65	4	
True	255	C18	Sample 66	2	
True	255	C19	Sample 67	2	
True	255	C20	Sample 68	2	
True	255	C21	Sample 69	2	
True	16744448	C22	Sample 70	1	
True	255	C23	Sample 71	2	
True	255	C24	Sample 72	2	
True	16744448	D1	Sample 73	1	
True	255	D2	Sample 74	2	
True	255	D3	Sample 75	2	
True	255	D4	Sample 76	2	
True	255	D5	Sample 77	2	
True	16744448	D6	Sample 78	1	
True	16744448	D7	Sample 79	1	
True	255	D8	Sample 80	2	
True	16744448	D9	Sample 81	1	
True	16744448	D10	Sample 82	1	* - Manually edited
True	255	D11	Sample 83	2	
True	16744448	D12	Sample 84	1	
True	255	D13	Sample 85	2	
True	16744448	D14	Sample 86	1	
True	16744448	D15	Sample 87	1	
True	16744448	D16	Sample 88	1	
True	255	D17	Sample 89	2	
True	255	D18	Sample 90	2	
True	16744448	D19	Sample 91	1	
True	16744448	D20	Sample 92	1	
True	16744448	D21	Sample 93	1	
True	16744448	D22	Sample 94	1	
True	16744448	D23	Sample 95	1	
True	255	D24	Sample 96	2	
True	255	E1	Sample 97	2	
True	255	E2	Sample 98	2	
True	255	E3	Sample 99	2	
True	255	E4	Sample 100	2	
True	16744448	E5	Sample 101	1	
True	255	E6	Sample 102	2	
True	255	E7	Sample 103	2	
True	16744448	E8	Sample 104	1	
True	255	E9	Sample 105	2	
True	16744448	E10	Sample 106	1	
True	16744448	E11	Sample 107	1	
True	16744448	E12	Sample 108	1	
True	255	E13	Sample 109	2	
True	16744448	E14	Sample 110	1	
True	255	E15	Sample 111	2	
True	16744448	E16	Sample 112	1	
True	16744448	E17	Sample 113	1	
True	16744448	E18	Sample 114	1	
True	16744448	E19	Sample 115	1	* - Manually edited
True	16744448	E20	Sample 116	1	
True	255	E21	Sample 117	2	
True	255	E22	Sample 118	2	
True	16744448	E23	Sample 119	1	
True	16744448	E24	Sample 120	1	
True	255	F1	Sample 121	2	
True	255	F2	Sample 122	2	
True	255	F3	Sample 123	2	
True	255	F4	Sample 124	2	
True	16744448	F5	Sample 125	1	
True	255	F6	Sample 126	2	
True	16744448	F7	Sample 127	1	
True	255	F8	Sample 128	2	
True	255	F9	Sample 129	2	
True	255	F10	Sample 130	2	
True	16744448	F11	Sample 131	1	
True	16744448	F12	Sample 132	1	
True	255	F13	Sample 133	2	
True	255	F14	Sample 134	2	
True	255	F15	Sample 135	2	
True	16744448	F16	Sample 136	1	
True	255	F17	Sample 137	2	
True	255	F18	Sample 138	2	
True	16744448	F19	Sample 139	1	
True	255	F20	Sample 140	2	
True	255	F21	Sample 141	2	
True	16744448	F22	Sample 142	1	
True	16744448	F23	Sample 143	1	
True	255	F24	Sample 144	2	
True	4227327	G1	Sample 145	Negative	
True	16744448	G2	Sample 146	1	
