Plate	Well	Group
1	A1	1
1	B1	2
1	C1	2
1	D1	Negative
1	E1	1
1	F1	1
1	G1	1
1	H1	2
1	A2	2
1	B2	1
1	C2	2
1	D2	2
1	E2	1
1	F2	1
1	G2	2
1	H2	1
1	A3	1
1	B3	1
1	C3	1
1	D3	2
1	E3	1
1	F3	1
1	G3	2
1	H3	1
1	A4	1
1	B4	1
1	C4	2
1	D4	1
1	E4	1
1	F4	2
1	G4	2
1	H4	2
1	A5	1
1	B5	1
1	C5	2
1	D5	1
1	E5	1
1	F5	1
1	G5	1
1	H5	2
1	A6	2
1	B6	1
1	C6	1
1	D6	1
1	E6	1
1	F6	1
1	G6	2
1	H6	2
1	A7	2
1	B7	1
1	C7	2
1	D7	2
1	E7	2
1	F7	2
1	G7	1
1	H7	2
1	A8	1
1	B8	2
1	C8	2
1	D8	2
1	E8	1
1	F8	2
1	G8	1
1	H8	2
1	A9	1
1	B9	4
1	C9	1
1	D9	1
1	E9	2
1	F9	2
1	G9	1
1	H9	1
1	A10	2
1	B10	2
1	C10	1
1	D10	1
1	E10	2
1	F10	1
1	G10	2
1	H10	2
1	A11	6
1	B11	2
1	C11	2
1	D11	1
1	E11	2
1	F11	1
1	G11	1
1	H11	1
1	A12	1
1	B12	2
1	C12	1
1	D12	1
1	E12	2
1	F12	1
1	G12	1
1	H12	1
2	A1	1
2	B1	1
2	C1	2
2	D1	2
2	E1	1
2	F1	2
2	G1	2
2	H1	2
2	A2	1
2	B2	2
2	C2	2
2	D2	1
2	E2	2
2	F2	1
2	G2	1
2	H2	1
2	A3	2
2	B3	2
2	C3	1
2	D3	2
2	E3	2
2	F3	1
2	G3	1
2	H3	1
2	A4	1
2	B4	1
2	C4	1
2	D4	1
2	E4	2
2	F4	1
2	G4	2
2	H4	2
2	A5	1
2	B5	1
2	C5	2
2	D5	2
2	E5	1
2	F5	2
2	G5	1
2	H5	1
2	A6	2
2	B6	2
2	C6	1
2	D6	2
2	E6	2
2	F6	1
2	G6	1
2	H6	2
2	A7	2
2	B7	2
2	C7	2
2	D7	2
2	E7	1
2	F7	2
2	G7	2
2	H7	2
2	A8	1
2	B8	1
2	C8	2
2	D8	1
2	E8	1
2	F8	1
2	G8	2
2	H8	1
2	A9	2
2	B9	2
2	C9	2
2	D9	Negative
2	E9	1
2	F9	1
2	G9	1
2	H9	1
2	A10	1
2	B10	1
2	C10	1
2	D10	2
2	E10	2
2	F10	1
2	G10	2
2	H10	2
2	A11	2
2	B11	1
2	C11	2
2	D11	1
2	E11	1
2	F11	2
2	G11	1
2	H11	1
2	A12	1
2	B12	1
2	C12	1
2	D12	1
2	E12	1
2	F12	1
2	G12	1
2	H12	2
3	A1	1
3	B1	1
3	C1	2
3	D1	1
3	E1	2
3	F1	1
3	G1	1
3	H1	1
3	A2	2
3	B2	1
3	C2	2
3	D2	1
3	E2	2
3	F2	2
3	G2	2
3	H2	2
3	A3	1
3	B3	2
3	C3	2
3	D3	1
3	E3	2
3	F3	1
3	G3	2
3	H3	2
3	A4	1
3	B4	1
3	C4	1
3	D4	1
3	E4	2
3	F4	1
3	G4	1
3	H4	2
3	A5	1
3	B5	2
3	C5	1
3	D5	1
3	E5	2
3	F5	2
3	G5	2
3	H5	1
3	A6	1
3	B6	1
3	C6	1
3	D6	2
3	E6	Negative
3	F6	1
3	G6	1
3	H6	2
3	A7	2
3	B7	1
3	C7	1
3	D7	2
3	E7	1
3	F7	2
3	G7	2
3	H7	1
3	A8	2
3	B8	1
3	C8	1
3	D8	2
3	E8	2
3	F8	1
3	G8	2
3	H8	1
3	A9	2
3	B9	2
3	C9	1
3	D9	1
3	E9	2
3	F9	2
3	G9	1
3	H9	1
3	A10	1
3	B10	2
3	C10	1
3	D10	1
3	E10	2
3	F10	2
3	G10	1
3	H10	1
3	A11	1
3	B11	1
3	C11	2
3	D11	2
3	E11	1
3	F11	1
3	G11	1
3	H11	2
3	A12	2
3	B12	2
3	C12	1
3	D12	1
3	E12	1
3	F12	1
3	G12	Negative
3	H12	1
4	A1	2
4	B1	2
4	C1	2
4	D1	2
4	E1	2
4	F1	2
4	G1	1
4	H1	1
4	A2	1
4	B2	2
4	C2	2
4	D2	1
4	E2	1
4	F2	1
4	G2	Negative
4	H2	1
4	A3	2
4	B3	1
4	C3	2
4	D3	1
4	E3	1
4	F3	2
4	G3	1
4	H3	2
4	A4	1
4	B4	2
4	C4	2
4	D4	1
4	E4	2
4	F4	2
4	G4	1
4	H4	2
4	A5	2
4	B5	1
4	C5	2
4	D5	1
4	E5	1
4	F5	1
4	G5	5
4	H5	1
4	A6	2
4	B6	1
4	C6	1
4	D6	1
4	E6	1
4	F6	1
4	G6	1
4	H6	1
4	A7	2
4	B7	1
4	C7	2
4	D7	1
4	E7	1
4	F7	1
4	G7	2
4	H7	2
4	A8	2
4	B8	1
4	C8	1
4	D8	2
4	E8	1
4	F8	2
4	G8	1
4	H8	1
4	A9	2
4	B9	2
4	C9	2
4	D9	2
4	E9	2
4	F9	2
4	G9	2
4	H9	1
4	A10	1
4	B10	1
4	C10	2
4	D10	2
4	E10	2
4	F10	2
4	G10	2
4	H10	1
4	A11	1
4	B11	1
4	C11	1
4	D11	1
4	E11	1
4	F11	1
4	G11	1
4	H11	1
4	A12	2
4	B12	2
4	C12	2
4	D12	2
4	E12	1
4	F12	2
4	G12	2
4	H12	2
